x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
153.272,28.0678,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
152.966,27.3553,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,19,11,2,2,0,0,9,0,2,0,4,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.266,27.7082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,4,2,2,0,0,2,1,4,4,10,4,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.043,27.435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,29,18,18,0,4,7,1,8,3,18,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.999,27.4267,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,3,3,3,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.103,26.6711,113,5,0,0,0,1,4,70,44,26,22,3,19,4,1,3,0,8,4,418,119,25,25,0,8,86,6,119,49,94,5,1,0,88,31,22,2,7,0,0,0,0,0,6,0,0,0,0,2,3,0,1
153.228,27.5399,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,95,50,45,45,0,1,4,0,18,2,24,4,0,0,20,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2
153.032,27.6147,7,0,0,0,0,0,0,4,3,1,1,1,0,1,0,1,0,1,0,127,55,47,47,0,2,6,0,28,11,33,5,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
152.698,27.6282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,4,0,0,5,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.426,28.1205,58,0,0,0,0,0,0,19,13,6,27,0,27,6,6,0,0,0,6,398,150,103,99,4,11,36,5,83,10,98,15,5,0,78,52,5,30,17,0,0,0,0,0,9,0,0,1,0,0,5,0,3
153.032,27.5148,16,0,0,0,0,0,0,8,5,3,2,0,2,3,1,2,0,1,2,171,69,64,62,2,2,3,1,32,12,52,8,10,0,34,5,3,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2
152.865,27.5396,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,118,41,2,2,0,4,35,1,22,11,33,0,0,0,33,10,1,0,9,0,0,0,0,0,3,0,0,0,0,1,0,0,2
152.954,27.3961,24,0,0,0,0,0,0,13,7,6,4,0,4,2,1,1,0,4,1,435,145,99,98,1,10,36,1,91,17,150,11,6,0,133,31,13,3,15,0,0,0,0,0,8,0,0,0,0,5,1,0,2
153.005,27.5688,10,0,0,0,0,0,0,4,2,2,4,0,4,1,0,1,0,0,1,135,36,24,24,0,2,10,0,42,9,43,5,3,0,35,5,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
153.116,26.7851,7,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,4,37,2,0,0,0,1,1,0,17,2,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.364,27.9381,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,28,25,25,0,0,3,0,6,3,8,1,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
153.064,27.4315,19,0,0,0,0,0,0,7,6,1,2,0,2,4,4,0,0,5,1,313,114,103,103,0,2,9,2,74,22,97,6,0,0,91,4,1,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,2
152.983,27.4447,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,76,43,34,34,0,0,9,0,8,4,21,2,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.373,27.9935,3,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,30,13,9,9,0,0,4,1,1,5,10,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.018,27.3674,37,0,0,0,0,0,0,18,14,4,5,0,5,7,5,2,0,5,2,206,79,44,41,3,0,35,16,31,13,63,11,0,2,50,4,2,1,1,0,0,0,0,0,6,0,0,0,0,3,2,0,1
